group_name,score
Contagious Interview,1.0
Saint Bear,0.9895878307369853
Ember Bear,0.9889777536057693
Sea Turtle,0.9879393615677196
APT1,0.9786575923181178
Winter Vivern,0.967545287289681
Darkhotel,0.9578240818177637
Star Blizzard,0.9380922576055913
Chimera,0.9374756988301877
RedCurl,0.930580937102779
FIN7,0.919839518463005
Silence,0.9108393565432116
Magic Hound,0.8958595696099967
Turla,0.8685240547256975
CURIUM,0.8572050034047061
Axiom,0.8572050034047061
Dragonfly,0.846002579020324
BlackByte,0.842381547605045
Moonstone Sleet,0.8391074151319585
Volt Typhoon,0.8318187290581314
Gorgon Group,0.8293889377526341
LAPSUS$,0.8290553535689049
FIN8,0.8259949288839405
GALLIUM,0.8253615613837927
APT42,0.8249937039898808
Gamaredon Group,0.8239739112585387
FIN13,0.823804017801303
Indrik Spider,0.8192057708765349
Equation,0.8164423953873085
Suckfly,0.8164423953873085
TA577,0.8164423953873085
BlackTech,0.8164423953873085
Volatile Cedar,0.8164423953873085
Evilnum,0.8164423953873085
Salt Typhoon,0.8164423953873085
Winnti Group,0.8164423953873085
Threat Group-1314,0.8164423953873085
Windigo,0.8164423953873085
APT30,0.8164423953873085
Stealth Falcon,0.8164423953873085
APT16,0.8164423953873085
DarkHydrus,0.8164423953873085
The White Company,0.8164423953873085
Orangeworm,0.8164423953873085
Gallmaker,0.8164423953873085
Strider,0.8164423953873085
TA578,0.8164423953873085
Scarlet Mimic,0.8164423953873085
IndigoZebra,0.8164423953873085
SilverTerrier,0.8164423953873085
BlackOasis,0.8164423953873085
Water Galura,0.8164423953873085
PittyTiger,0.8164423953873085
APT17,0.8164423953873085
GCMAN,0.8164423953873085
Thrip,0.8164423953873085
Nomadic Octopus,0.8164423953873085
Moafee,0.8164423953873085
AppleJeus,0.8164423953873085
APT12,0.8164423953873085
GOLD SOUTHFIELD,0.8164423953873085
Ajax Security Team,0.8164423953873085
Andariel,0.8164423953873085
POLONIUM,0.8164423953873085
RTM,0.8164423953873085
EXOTIC LILY,0.8164423953873085
Patchwork,0.8145724142848316
Play,0.8132403893860998
Cleaver,0.8132403893860998
FIN5,0.8126077158804899
TA505,0.811637952657492
Lotus Blossom,0.8088717842007117
Windshift,0.8086070327943964
Molerats,0.8086070327943964
FIN4,0.8086070327943964
TA459,0.8086070327943964
Rancor,0.8086070327943964
APT37,0.8086070327943964
Tonto Team,0.8084150299269115
Scattered Spider,0.8084150299269115
RedEcho,0.8064130926440973
ToddyCat,0.8054605514263246
Sowbug,0.8054605514263246
admin@338,0.8054605514263246
PLATINUM,0.8052130239257028
CopyKittens,0.8042326396470553
Daggerfly,0.8042326396470553
Wizard Spider,0.8037366090707811
APT-C-36,0.8029277679014164
Aoqin Dragon,0.8028578204395719
FIN10,0.8028578204395719
Cinnamon Tempest,0.8027569991054614
DarkVishnya,0.8027569991054614
ZIRCONIUM,0.8027357650339315
APT28,0.8002863049809366
Aquatic Panda,0.8002245549622835
FIN6,0.7995337590327227
Confucius,0.7991494108365018
Ke3chang,0.7985226137453376
APT5,0.7984238659182972
Machete,0.7976251888334125
APT41,0.7965894446166158
LazyScripter,0.7962940080128983
Medusa Group,0.7959198827585849
Malteiro,0.7937114505228576
LuminousMoth,0.7920664585653954
INC Ransom,0.7918759764785879
Group5,0.7915686145131282
APT18,0.7915686145131282
Dark Caracal,0.7915686145131282
Putter Panda,0.7915686145131282
Metador,0.7915686145131282
Moses Staff,0.7915686145131282
Mofang,0.7915686145131282
Elderwood,0.7915686145131282
APT3,0.7910989718679137
Mustang Panda,0.7904852342841403
Higaisa,0.7880321856298776
menuPass,0.7867302896479672
BRONZE BUTLER,0.7853959078314056
Cobalt Group,0.783851801393951
HAFNIUM,0.7836547430531163
APT38,0.7808426728251343
Leviathan,0.7793812576184265
Silent Librarian,0.778865132602249
Deep Panda,0.7785876346767296
UNC3886,0.7774931628486471
OilRig,0.7771186563371396
MuddyWater,0.7765095396379701
Leafminer,0.7756631266010403
Storm-1811,0.7731457147002305
TeamTNT,0.7730448933661201
Threat Group-3390,0.7727973658654984
APT19,0.772609191435468
Storm-0501,0.7725380657924316
Fox Kitten,0.7717054996579554
Akira,0.7712845536071576
Mustard Tempest,0.7712845536071576
Poseidon Group,0.7712845536071576
Rocke,0.7712845536071576
Ferocious Kitten,0.7712845536071576
HEXANE,0.7710297700093369
BITTER,0.76783268141654
Inception,0.7671950747156301
Naikon,0.7656052887141775
Tropic Trooper,0.7638908400654529
Kimsuky,0.7634567617215914
BackdoorDiplomacy,0.761770609207359
TA551,0.7611712947167842
Velvet Ant,0.757699978659421
SideCopy,0.7539915690563509
MoustachedBouncer,0.7529217227569039
Lazarus Group,0.7528662373214969
Earth Lusca,0.7464585196899448
Sandworm Team,0.7438072072416967
APT39,0.7415169232346794
PROMETHIUM,0.7389311596248447
Whitefly,0.7351814012713717
APT33,0.734926617673551
Agrius,0.7315697430571522
WIRTE,0.7298454680418691
Transparent Tribe,0.7285461073968541
TA2541,0.7284428383556092
Carbanak,0.7267214038845914
Sidewinder,0.7252831086753521
Blue Mockingbird,0.7136348518182563
APT29,0.6837083066971694
APT32,0.6526698996434657
