group_name,score
Equation,1.0
Strider,0.6945513942363786
Axiom,0.49698791414407073
LAPSUS$,0.49368268765538886
UNC3886,0.46745464887130245
APT29,0.4500928767795213
Storm-0501,0.4295429933752373
TeamTNT,0.42950431411204815
Contagious Interview,0.4152028195739572
APT12,0.407330732390278
Mustard Tempest,0.39985054311488594
Salt Typhoon,0.38899655822623397
Scattered Spider,0.37951690061501514
Scarlet Mimic,0.3639481974098705
APT28,0.3606296603591253
Sea Turtle,0.3307238108366847
APT38,0.3242537715841242
Mustang Panda,0.3183795971576933
Storm-1811,0.31504113392648014
MoustachedBouncer,0.3046078187803021
Volt Typhoon,0.29267783853929735
GCMAN,0.26947663172632313
DarkVishnya,0.2657159052601502
Kimsuky,0.2503181436908408
Turla,0.24917224332700583
Velvet Ant,0.2477084768996935
Akira,0.24482206595072206
HAFNIUM,0.24460534361375083
Silent Librarian,0.2402244747096167
EXOTIC LILY,0.23296196099919722
Lazarus Group,0.23039753572307245
Star Blizzard,0.23023441707806677
Volatile Cedar,0.22607796832696694
Gamaredon Group,0.22530090116117094
Cleaver,0.22452186645073138
SilverTerrier,0.22129856492824643
Rocke,0.22122564697144
PLATINUM,0.2187002580048988
Moafee,0.21841092054602732
PROMETHIUM,0.21723570018881452
Medusa Group,0.21622887412691072
APT41,0.21352065309953053
APT17,0.2103255162758138
Sandworm Team,0.20942059591571954
AppleJeus,0.20686034301715087
APT42,0.206472266618542
Leafminer,0.20599748726470443
Ember Bear,0.20492229141279417
Magic Hound,0.1972505134547481
APT5,0.19410750595410672
FIN4,0.19333562153183467
Cobalt Group,0.19164693920431466
FIN7,0.1900535722724545
Wizard Spider,0.1880282088741897
FIN13,0.1879211926155466
DarkHydrus,0.18513287643946022
Higaisa,0.18347460871850502
APT37,0.179684944018587
Blue Mockingbird,0.1757845757446228
APT39,0.17489594501167777
Chimera,0.17401684707202877
APT32,0.17209988297786882
APT16,0.16989849492474626
Threat Group-3390,0.16977786534972794
Naikon,0.16368724695434844
RedCurl,0.16332101626796833
Leviathan,0.15956133251527882
BlackByte,0.1584392858733697
OilRig,0.15362061124905116
Dragonfly,0.14529202828382465
Winter Vivern,0.14488306433236212
Andariel,0.14259310418394722
TA577,0.142499835865646
SideCopy,0.13934307428025108
Indrik Spider,0.1390884790275319
Earth Lusca,0.13846297944291566
FIN8,0.13761241868311497
Ke3chang,0.13743535377129792
MuddyWater,0.13700634032585943
TA551,0.13245303397028882
LuminousMoth,0.13243738290933954
Darkhotel,0.1297544240018351
CURIUM,0.1273831958100369
HEXANE,0.12526555700946615
Tropic Trooper,0.12484742932197657
Gorgon Group,0.1239203618962634
Moonstone Sleet,0.12012148876114954
ZIRCONIUM,0.120110325579414
RedEcho,0.1167028351417571
Fox Kitten,0.11523828335580397
Aquatic Panda,0.11505120788049497
INC Ransom,0.11172862467116262
Lotus Blossom,0.11064137837537831
APT33,0.11006344278895655
Evilnum,0.10985595023097496
BRONZE BUTLER,0.10976507117585722
TA505,0.10973521425444811
Threat Group-1314,0.10914554395108704
GOLD SOUTHFIELD,0.10762989493311553
Daggerfly,0.1073656876586823
TA578,0.10664310875118224
menuPass,0.10087063345341074
FIN6,0.10047677946009388
Water Galura,0.09814902509831373
Deep Panda,0.09654435953583382
APT3,0.09503610617228705
Malteiro,0.09147443082120364
Patchwork,0.08794961587860414
Play,0.08765152076876379
Thrip,0.08583937661119749
Windshift,0.0853109046070615
BlackTech,0.08502831616864033
Cinnamon Tempest,0.08461352261190282
BlackOasis,0.08365418270913545
BITTER,0.08305225676630347
RTM,0.08239855541164152
Saint Bear,0.08189979374149615
Transparent Tribe,0.08104279815920658
Silence,0.08092344578524575
APT18,0.07841495690855967
GALLIUM,0.07765765658154994
APT1,0.07345917923758821
Tonto Team,0.07202512861412504
Stealth Falcon,0.07170001885604552
CopyKittens,0.07113621890404992
Winnti Group,0.06863459915077202
Putter Panda,0.06785420352098685
POLONIUM,0.06759312276857328
BackdoorDiplomacy,0.06672448020032028
Ferocious Kitten,0.0662433389852286
TA2541,0.06590782683756029
FIN5,0.06517313420175705
Sidewinder,0.06414841244030235
Inception,0.06258730776537842
Dark Caracal,0.06236771570926729
Agrius,0.062140097599180204
Sowbug,0.06190490235551333
ToddyCat,0.05979831767935869
Windigo,0.05963719367734416
Aoqin Dragon,0.05897054716797245
Rancor,0.05691963999224847
Carbanak,0.05626274805999647
Poseidon Group,0.05497051777269332
Mofang,0.05324498408613278
Molerats,0.05285487487971904
Metador,0.05241880871979793
admin@338,0.04754988102124287
Suckfly,0.04743545848176273
Confucius,0.046260343301253025
Machete,0.04622653487468509
Group5,0.0451164111129718
LazyScripter,0.04438675731244579
Gallmaker,0.04390578803877782
APT19,0.042477790829969796
The White Company,0.0391809391160207
Moses Staff,0.03831106281756088
Ajax Security Team,0.03730590228114592
IndigoZebra,0.03110159230969739
FIN10,0.030678382259790485
APT-C-36,0.03052025867336774
Orangeworm,0.030491909210845162
WIRTE,0.02843913717063513
Whitefly,0.027518077672508648
Nomadic Octopus,0.024441382927991896
Elderwood,0.020769678635307574
PittyTiger,0.010181521734314563
TA459,0.008275442276374764
APT30,0.0
