group_name,score
Ember Bear,1.0
Sandworm Team,0.9985939274204504
Scattered Spider,0.9967426508977499
APT28,0.9956199859300314
Indrik Spider,0.9936933647039184
Magic Hound,0.9916490275909191
Kimsuky,0.9906136934258563
Lazarus Group,0.9899046333138182
FIN7,0.9885450404962496
APT41,0.9838175469649542
TeamTNT,0.9796845005843765
HAFNIUM,0.9387876382787769
FIN13,0.9358024679422605
Wizard Spider,0.9353061878586382
Storm-1811,0.9345764289282185
FIN8,0.9315719768420399
Mustang Panda,0.9301034272583386
Storm-0501,0.9287192649740852
Play,0.9271290640037905
Chimera,0.9255869537436605
APT32,0.9253530763751866
BlackByte,0.9244219749555587
Earth Lusca,0.9234382169276054
Salt Typhoon,0.8812094966538764
Dragonfly,0.8794317512166554
Threat Group-3390,0.8758897246065885
LuminousMoth,0.8755595369726453
Akira,0.8754801495766421
APT39,0.8746130218416032
Leviathan,0.8745588640452028
LAPSUS$,0.874245903851798
INC Ransom,0.8742438939488069
GALLIUM,0.8739034222188203
OilRig,0.8730734157731589
Winter Vivern,0.8726112347253541
Ke3chang,0.8723084469235819
RedCurl,0.8720436177773842
FIN6,0.8709512241613211
UNC3886,0.8677477310950132
Medusa Group,0.867572816366076
APT29,0.8659945569825568
Contagious Interview,0.8659786540864428
Volt Typhoon,0.8659459246504038
MuddyWater,0.8657108428169924
Turla,0.865033931457995
Gamaredon Group,0.8644538028676321
Patchwork,0.8643032916999046
HEXANE,0.8627729185392162
Aquatic Panda,0.8583988808655927
Fox Kitten,0.8199173361516544
Agrius,0.8144807719181333
menuPass,0.8132412392155275
Moonstone Sleet,0.8123064009697171
APT3,0.8114133214853361
ZIRCONIUM,0.8109029760195305
BRONZE BUTLER,0.8060065619558566
APT33,0.8040403487954817
Silence,0.8008665947483945
APT38,0.798515718574358
Blue Mockingbird,0.7982429663377124
APT42,0.7575152087655782
FIN5,0.7555314762256073
Axiom,0.7551634749387113
Tonto Team,0.7542452247244067
Confucius,0.7509063322078953
Cinnamon Tempest,0.7503025892346075
APT5,0.7498501778518752
APT37,0.7472416846649048
Sidewinder,0.7437000606672012
ToddyCat,0.7434895954942898
Tropic Trooper,0.7428328062760867
Inception,0.7417126047708105
Star Blizzard,0.7415954430618834
TA505,0.7376901466791725
Darkhotel,0.7336769395733603
Rocke,0.729570394354414
Daggerfly,0.6969997034502335
Velvet Ant,0.6910281988179673
SideCopy,0.6837171914134331
Sea Turtle,0.6835296906867163
Cobalt Group,0.6819199332337758
Leafminer,0.6713934312648999
Lotus Blossom,0.66913043577317
Andariel,0.6359623356072608
FIN4,0.6343313393079222
Dark Caracal,0.6327423283232264
DarkVishnya,0.63147642607991
FIN10,0.6308382601485442
TA2541,0.6306293375915404
Evilnum,0.6303950397870043
BackdoorDiplomacy,0.628691888522515
BlackTech,0.6261460518966839
Higaisa,0.6260013079245648
APT19,0.6251865354866575
APT1,0.6219111577198015
Stealth Falcon,0.6207685718879271
Molerats,0.6200235592267861
Silent Librarian,0.6167872337037172
CURIUM,0.6166584963891115
APT18,0.5770812252003877
PLATINUM,0.5765569993835923
Suckfly,0.5762952880185114
POLONIUM,0.5741561178135293
APT-C-36,0.5697062035268304
Whitefly,0.5697062035268304
Malteiro,0.5695304408586764
Moses Staff,0.5668319565705974
Windshift,0.565146882822006
PROMETHIUM,0.5644165658450654
BITTER,0.5644165658450654
LazyScripter,0.5625932314289687
Gorgon Group,0.5567522874235614
Saint Bear,0.5387102978242145
Naikon,0.515306641911715
RTM,0.5143265108149389
Aoqin Dragon,0.5143265108149389
MoustachedBouncer,0.512781415533277
Threat Group-1314,0.5125117582019669
Deep Panda,0.5109984700379343
Metador,0.5080791187177779
Rancor,0.5057499829815504
Carbanak,0.4997545849696475
GOLD SOUTHFIELD,0.4844533981869523
Mustard Tempest,0.4815444550474724
PittyTiger,0.45842046242972967
DarkHydrus,0.4504967397208213
Ajax Security Team,0.4504967397208213
Transparent Tribe,0.44875498741189196
EXOTIC LILY,0.44776150566590783
Sowbug,0.4445102346892396
WIRTE,0.44374492212136085
CopyKittens,0.44309951521318114
Windigo,0.4405608627633284
Machete,0.4276333034840298
TA551,0.4273987996360185
Thrip,0.3972977341057657
The White Company,0.3919721788532182
Strider,0.3889467903753811
Volatile Cedar,0.3889467903753811
Ferocious Kitten,0.3885582664142245
Winnti Group,0.3885582664142245
Elderwood,0.3856451105170441
Nomadic Octopus,0.3804369829257449
Gallmaker,0.3751005378321722
TA577,0.3751005378321722
IndigoZebra,0.36141081469123626
admin@338,0.349281051164872
Poseidon Group,0.34903468665378756
Mofang,0.33617500578180165
APT12,0.3276669672548274
Group5,0.3276669672548274
TA578,0.32470723322295986
Putter Panda,0.3191932430259901
Cleaver,0.3191932430259901
Equation,0.30728885194785355
Orangeworm,0.2750522774578377
APT30,0.2750522774578377
AppleJeus,0.2750522774578377
Water Galura,0.25757334207475546
SilverTerrier,0.23467909171168103
TA459,0.21556448017029384
RedEcho,0.21556448017029384
BlackOasis,0.0
GCMAN,0.0
APT17,0.0
APT16,0.0
Moafee,0.0
Scarlet Mimic,0.0
