group_name,score
MoustachedBouncer,1.0
Sidewinder,0.9862833212433388
Windshift,0.9792501526164319
APT17,0.9571379871815093
Putter Panda,0.9471527318316104
Group5,0.9354711738181818
Transparent Tribe,0.933391963146738
SideCopy,0.9310968734997727
AppleJeus,0.9161646806363835
TA578,0.9083896329671961
GOLD SOUTHFIELD,0.8904449082616983
Rancor,0.888299501175881
Machete,0.8872822496241008
Windigo,0.8742533522835283
Strider,0.8728949354673456
Lotus Blossom,0.863505970921745
Winter Vivern,0.8578725661121105
APT39,0.8491694905883018
Scarlet Mimic,0.8455488658230785
Honeybee,0.843752540499485
UNC2452,0.843752540499485
Operation Wocao,0.843752540499485
Dust Storm,0.843752540499485
TEMP.Veles,0.843752540499485
Stolen Pencil,0.843752540499485
Sharpshooter,0.843752540499485
Frankenstein,0.843752540499485
APT-C-23,0.843752540499485
Taidoor,0.843752540499485
APT34,0.843752540499485
MONSOON,0.843752540499485
Charming Kitten,0.843752540499485
NEODYMIUM,0.843752540499485
Dragonfly 2.0,0.843752540499485
Gelsemium,0.843752540499485
CostaRicto,0.843752540499485
Night Dragon,0.843752540499485
DragonOK,0.843752540499485
Moafee,0.8413948635122686
BlackOasis,0.8413275013126338
Equation,0.8403844305177472
GCMAN,0.8378430384406179
DarkHydrus,0.829006806752721
Threat Group-1314,0.8180291727955511
Poseidon Group,0.8172323805612158
Orangeworm,0.8034415877927703
MuddyWater,0.8031478117762123
BRONZE BUTLER,0.7993436851315672
APT29,0.7971337141925703
TA577,0.7819839711968588
Volatile Cedar,0.7760086652772293
TA459,0.7677170812721181
Evilnum,0.7531280880244924
APT16,0.7450699799527358
Saint Bear,0.744356774697569
Molerats,0.7374727917271189
Sowbug,0.729654949226761
Water Galura,0.7294527279280882
Suckfly,0.7266559112225983
Malteiro,0.722206193218565
Axiom,0.7218104719089222
Velvet Ant,0.7098421310510772
APT32,0.7043776401909181
APT18,0.7036786093099243
Dark Caracal,0.6984301489487847
RedEcho,0.6853170525972752
Mofang,0.6800197640648866
Nomadic Octopus,0.6739875782266238
Winnti Group,0.6735829159312066
Thrip,0.6735565774532166
FIN4,0.6704029090630235
APT33,0.6698268171762487
Elderwood,0.6662276638839946
Mustang Panda,0.6649712674628849
Stealth Falcon,0.6537364597596318
Naikon,0.6402331209153471
APT5,0.6372719693927527
Gallmaker,0.6358832143401478
CopyKittens,0.6333165040945401
Inception,0.6305601119441322
Leafminer,0.6302105429536038
SilverTerrier,0.6177195170727718
Tonto Team,0.6104124025443634
PittyTiger,0.6043890930359852
RTM,0.6001955574977031
HEXANE,0.5982256878513663
The White Company,0.5933907191630383
Tropic Trooper,0.5890470031692798
admin@338,0.5885896576502203
Gorgon Group,0.588411557396451
DarkVishnya,0.5879505341888565
Rocke,0.5868726375025484
Deep Panda,0.5770730861808575
FIN5,0.5737742163884241
APT42,0.5734046948984788
APT30,0.5724198771816398
Darkhotel,0.5718034650908677
FIN10,0.5716220412165272
BlackByte,0.5695187078507966
Fox Kitten,0.5623040940175028
APT12,0.5622667509532862
Gamaredon Group,0.5553479184587369
Volt Typhoon,0.555178541252014
INC Ransom,0.5473453717873094
TA2541,0.5469051432550689
Ajax Security Team,0.5450003861572963
APT3,0.5441601545121659
APT-C-36,0.5420436431107154
Sea Turtle,0.5393515435446481
Lazarus Group,0.5311437951360003
Leviathan,0.5302278779451248
LazyScripter,0.5262346705415073
Ke3chang,0.5234913514159782
APT28,0.5204278809596323
PLATINUM,0.5200227009772682
menuPass,0.5193439203646495
Whitefly,0.518336867619579
Silence,0.5105744720522352
Higaisa,0.508467575135404
BackdoorDiplomacy,0.5082346311836639
POLONIUM,0.5053247946649437
Turla,0.5028696925789904
EXOTIC LILY,0.5003982786259817
Dragonfly,0.4997505770435269
IndigoZebra,0.4937183239103593
Metador,0.49258253018471665
Ember Bear,0.489685696866909
FIN13,0.4892058267975894
BITTER,0.4819488931559819
Ferocious Kitten,0.4792731861668791
FIN6,0.4765126586786006
Storm-1811,0.4762472591200404
Akira,0.47548758233480215
Magic Hound,0.46947519868201026
GALLIUM,0.46835489817871623
CURIUM,0.468301278434315
Carbanak,0.4674198166745077
APT41,0.45331029203591044
Agrius,0.45206855545793123
HAFNIUM,0.44745948125019397
PROMETHIUM,0.4464415885275167
RedCurl,0.44521701709839945
TeamTNT,0.4443376766675128
Silent Librarian,0.4318722198815854
Aoqin Dragon,0.4310681926752775
ZIRCONIUM,0.4269945062834688
Sandworm Team,0.4239324862962234
Andariel,0.4230363532575493
