Technique,Count
Data from Information Repositories,1
Data from Network Shared Drive,1
Databases,1
Dead Drop Resolver,1
Debugger Evasion,1
Default Accounts,1
Delay Execution,1
Device Registration,1
Compute Hijacking,1
Conditional Access Policies,1
Create Account,1
Create Cloud Instance,1
Create Process with Token,1
Cron,1
DCSync,1
DNS Server,1
Spearphishing Voice,1
Stage Capabilities,1
Steal or Forge Authentication Certificates,1
Steganography,1
System Location Discovery,1
Cloud Administration Command,1
Cloud Infrastructure Discovery,1
Cloud Service Dashboard,1
Communication Through Removable Media,1
Component Object Model Hijacking,1
Compression,1
Business Relationships,1
Bypass User Account Control,1
Cached Domain Credentials,1
Clear Mailbox Data,1
Clipboard Data,1
Cloud API,1
System Shutdown/Reboot,1
Systemd Service,1
Template Injection,1
Token Impersonation/Theft,1
Trust Modification,1
Unsecured Credentials,1
Abuse Elevation Control Mechanism,1
Wordlist Scanning,1
vSphere Installation Bundles,1
